src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,mean_packet_length,std_packet_length,max_packet_length,min_packet_length,flow_duration,mean_inter_arrival_time,std_inter_arrival_time,label
::1,::1,12820,8443,4,1560,390.0,650.7265170561286,1517,1,2.0188028812408447,0.6729342937469482,0.46464154114452405,0
::1,::1,8443,12820,3,622,207.33333333333334,60.339778661252055,250,122,0.0030090808868408203,0.0015045404434204102,0.0014134645462036133,0
::1,::1,12821,8443,4,1560,390.0,650.7265170561286,1517,1,2.008810043334961,0.6696033477783203,0.4691033909527566,0
::1,::1,8443,12821,2,372,186.0,64.0,250,122,0.0028858184814453125,0.0028858184814453125,0.0,0
::1,::1,12822,8443,4,1560,390.0,650.7265170561286,1517,1,2.0089619159698486,0.6696539719899496,0.4695865245120547,0
::1,::1,8443,12822,2,372,186.0,64.0,250,122,0.002888917922973633,0.002888917922973633,0.0,0
::1,::1,12823,8443,4,1560,390.0,650.7265170561286,1517,1,2.0087990760803223,0.669599692026774,0.46832594321532595,0
::1,::1,8443,12823,2,372,186.0,64.0,250,122,0.0030851364135742188,0.0030851364135742188,0.0,0
::1,::1,12824,8443,4,1560,390.0,650.7265170561286,1517,1,2.009489059448242,0.6698296864827474,0.46956775451491284,0
::1,::1,8443,12824,2,372,186.0,64.0,250,122,0.0044498443603515625,0.0044498443603515625,0.0,0
::1,::1,12825,8443,4,1560,390.0,650.7265170561286,1517,1,2.008780002593994,0.669593334197998,0.46892113211468367,0
::1,::1,8443,12825,3,622,207.33333333333334,60.339778661252055,250,122,0.004177093505859375,0.0020885467529296875,0.0018165111541748047,0
::1,::1,14597,8443,4,1560,390.0,650.7265170561286,1517,1,2.0083460807800293,0.6694486935933431,0.4692978122720698,0
::1,::1,8443,14597,2,372,186.0,64.0,250,122,0.003361940383911133,0.003361940383911133,0.0,0
::1,::1,9668,8443,4,1560,390.0,650.7265170561286,1517,1,2.0068418979644775,0.6689472993214926,0.4691756904125161,0
::1,::1,8443,9668,2,372,186.0,64.0,250,122,0.002863168716430664,0.002863168716430664,0.0,0
::1,::1,9669,8443,4,1560,390.0,650.7265170561286,1517,1,2.007690191268921,0.669230063756307,0.4694956501541827,0
::1,::1,8443,9669,2,372,186.0,64.0,250,122,0.0029098987579345703,0.0029098987579345703,0.0,0
::1,::1,9670,8443,4,1560,390.0,650.7265170561286,1517,1,2.0087339878082275,0.6695779959360758,0.46912963305263866,0
::1,::1,8443,9670,2,372,186.0,64.0,250,122,0.003248929977416992,0.003248929977416992,0.0,0
::1,::1,9671,8443,4,1560,390.0,650.7265170561286,1517,1,2.0095009803771973,0.6698336601257324,0.4697465031223619,0
::1,::1,8443,9671,2,372,186.0,64.0,250,122,0.003952980041503906,0.003952980041503906,0.0,0
::1,::1,9672,8443,4,1560,390.0,650.7265170561286,1517,1,2.0083470344543457,0.6694490114847819,0.4694573678589194,0
::1,::1,8443,9672,2,372,186.0,64.0,250,122,0.002916097640991211,0.002916097640991211,0.0,0
::1,::1,9673,8443,4,1560,390.0,650.7265170561286,1517,1,2.006925106048584,0.668975035349528,0.46938464915818306,0
::1,::1,8443,9673,3,622,207.33333333333334,60.339778661252055,250,122,0.0032520294189453125,0.0016260147094726562,0.0015399456024169922,0
::1,::1,9674,8443,4,1560,390.0,650.7265170561286,1517,1,2.007641077041626,0.6692136923472086,0.46940619071772516,0
::1,::1,8443,9674,2,372,186.0,64.0,250,122,0.003347158432006836,0.003347158432006836,0.0,0
::1,::1,9675,8443,4,1560,390.0,650.7265170561286,1517,1,2.0086450576782227,0.6695483525594076,0.4694932530868263,0
::1,::1,8443,9675,2,372,186.0,64.0,250,122,0.003386974334716797,0.003386974334716797,0.0,0
::1,::1,9677,8443,4,1560,390.0,650.7265170561286,1517,1,2.014608144760132,0.6715360482533773,0.46681433021959856,0
::1,::1,8443,9677,2,372,186.0,64.0,250,122,0.0062448978424072266,0.0062448978424072266,0.0,0
::1,::1,9679,8443,4,1560,390.0,650.7265170561286,1517,1,2.0124940872192383,0.6708313624064127,0.46690917061739506,0
::1,::1,8443,9679,2,372,186.0,64.0,250,122,0.004241943359375,0.004241943359375,0.0,0
::1,::1,9680,8443,4,1560,390.0,650.7265170561286,1517,1,2.0067429542541504,0.6689143180847168,0.46945268047607486,0
::1,::1,8443,9680,3,622,207.33333333333334,60.339778661252055,250,122,0.0029959678649902344,0.0014979839324951172,0.0014150142669677734,0
::1,::1,9681,8443,4,1560,390.0,650.7265170561286,1517,1,2.0066449642181396,0.6688816547393799,0.4693213756980615,0
::1,::1,8443,9681,3,622,207.33333333333334,60.339778661252055,250,122,0.0032498836517333984,0.0016249418258666992,0.0015071630477905273,0
::1,::1,9682,8443,4,1560,390.0,650.7265170561286,1517,1,2.0085859298706055,0.6695286432902018,0.46940728015800487,0
::1,::1,8443,9682,2,372,186.0,64.0,250,122,0.003400087356567383,0.003400087356567383,0.0,0
::1,::1,9683,8443,4,1560,390.0,650.7265170561286,1517,1,2.007852077484131,0.6692840258280436,0.4699978281623152,0
::1,::1,8443,9683,3,622,207.33333333333334,60.339778661252055,250,122,0.0031599998474121094,0.0015799999237060547,0.0013670921325683594,0
::1,::1,9684,8443,4,1560,390.0,650.7265170561286,1517,1,2.0067670345306396,0.6689223448435465,0.4694964654030456,0
::1,::1,8443,9684,2,372,186.0,64.0,250,122,0.002819061279296875,0.002819061279296875,0.0,0
::1,::1,9685,8443,4,1560,390.0,650.7265170561286,1517,1,2.0087320804595947,0.6695773601531982,0.46930567897883774,0
::1,::1,8443,9685,2,372,186.0,64.0,250,122,0.0031290054321289062,0.0031290054321289062,0.0,0
::1,::1,9686,8443,4,1560,390.0,650.7265170561286,1517,1,2.007438898086548,0.6691462993621826,0.4698471933759243,0
::1,::1,8443,9686,2,372,186.0,64.0,250,122,0.0030808448791503906,0.0030808448791503906,0.0,0
::1,::1,9687,8443,4,1560,390.0,650.7265170561286,1517,1,2.00763201713562,0.66921067237854,0.46962903612736606,0
::1,::1,8443,9687,2,372,186.0,64.0,250,122,0.002701997756958008,0.002701997756958008,0.0,0
::1,::1,9688,8443,4,1560,390.0,650.7265170561286,1517,1,2.0077240467071533,0.6692413489023844,0.4695452689945864,0
::1,::1,8443,9688,2,372,186.0,64.0,250,122,0.0029201507568359375,0.0029201507568359375,0.0,0
::1,::1,9689,8443,4,1560,390.0,650.7265170561286,1517,1,2.008357048034668,0.6694523493448893,0.4689091093411521,0
::1,::1,8443,9689,2,372,186.0,64.0,250,122,0.0037250518798828125,0.0037250518798828125,0.0,0
::1,::1,9690,8443,4,1560,390.0,650.7265170561286,1517,1,2.0067551136016846,0.6689183712005615,0.46954228644835244,0
::1,::1,8443,9690,2,372,186.0,64.0,250,122,0.0031430721282958984,0.0031430721282958984,0.0,0
::1,::1,9691,8443,4,1560,390.0,650.7265170561286,1517,1,2.010483980178833,0.6701613267262777,0.46970605271152593,0
::1,::1,8443,9691,3,622,207.33333333333334,60.339778661252055,250,122,0.0058040618896484375,0.0029020309448242188,0.002685070037841797,0
::1,::1,9692,8443,4,1560,390.0,650.7265170561286,1517,1,2.0079400539398193,0.6693133513132731,0.4691003064122797,0
::1,::1,8443,9692,2,372,186.0,64.0,250,122,0.0034608840942382812,0.0034608840942382812,0.0,0
::1,::1,9693,8443,4,1560,390.0,650.7265170561286,1517,1,2.007327079772949,0.669109026590983,0.46956244301256933,0
::1,::1,8443,9693,2,372,186.0,64.0,250,122,0.003671884536743164,0.003671884536743164,0.0,0
::1,::1,9694,8443,4,1560,390.0,650.7265170561286,1517,1,2.0078139305114746,0.6692713101704916,0.46957478889664733,0
::1,::1,8443,9694,2,372,186.0,64.0,250,122,0.0031800270080566406,0.0031800270080566406,0.0,0
::1,::1,9695,8443,4,1560,390.0,650.7265170561286,1517,1,2.0134470462799072,0.6711490154266357,0.46776089990944447,0
::1,::1,8443,9695,3,622,207.33333333333334,60.339778661252055,250,122,0.005401134490966797,0.0027005672454833984,0.0025544166564941406,0
::1,::1,9696,8443,4,1560,390.0,650.7265170561286,1517,1,2.0121140480041504,0.6707046826680502,0.4685783982340499,0
::1,::1,8443,9696,2,372,186.0,64.0,250,122,0.004773855209350586,0.004773855209350586,0.0,0
::1,::1,9697,8443,4,1560,390.0,650.7265170561286,1517,1,2.008186101913452,0.669395367304484,0.46955451415478855,0
::1,::1,8443,9697,3,622,207.33333333333334,60.339778661252055,250,122,0.0029811859130859375,0.0014905929565429688,0.0013794898986816406,0
::1,::1,9698,8443,4,1560,390.0,650.7265170561286,1517,1,2.0082411766052246,0.6694137255350748,0.46924651040235227,0
::1,::1,8443,9698,2,372,186.0,64.0,250,122,0.0032460689544677734,0.0032460689544677734,0.0,0
::1,::1,9699,8443,4,1560,390.0,650.7265170561286,1517,1,2.0071070194244385,0.6690356731414795,0.46981292972737154,0
::1,::1,8443,9699,2,372,186.0,64.0,250,122,0.0035581588745117188,0.0035581588745117188,0.0,0
::1,::1,9700,8443,4,1560,390.0,650.7265170561286,1517,1,2.0081100463867188,0.6693700154622396,0.4693995989094522,0
::1,::1,8443,9700,2,372,186.0,64.0,250,122,0.0035190582275390625,0.0035190582275390625,0.0,0
::1,::1,9701,8443,4,1560,390.0,650.7265170561286,1517,1,2.008957862854004,0.6696526209513346,0.4694664545421112,0
::1,::1,8443,9701,2,372,186.0,64.0,250,122,0.003537893295288086,0.003537893295288086,0.0,0
::1,::1,9702,8443,4,1560,390.0,650.7265170561286,1517,1,2.0105478763580322,0.6701826254526774,0.46868547022237206,0
::1,::1,8443,9702,2,372,186.0,64.0,250,122,0.004246950149536133,0.004246950149536133,0.0,0
::1,::1,9703,8443,4,1560,390.0,650.7265170561286,1517,1,2.007796049118042,0.669265349706014,0.46940290496489817,0
::1,::1,8443,9703,2,372,186.0,64.0,250,122,0.003248929977416992,0.003248929977416992,0.0,0
::1,::1,9704,8443,4,1560,390.0,650.7265170561286,1517,1,2.0085179805755615,0.6695059935251871,0.4696386880703315,0
::1,::1,8443,9704,2,372,186.0,64.0,250,122,0.003777027130126953,0.003777027130126953,0.0,0
::1,::1,9705,8443,4,1560,390.0,650.7265170561286,1517,1,2.0081589221954346,0.6693863073984782,0.4689698951854986,0
::1,::1,8443,9705,3,622,207.33333333333334,60.339778661252055,250,122,0.0036270618438720703,0.0018135309219360352,0.0016824007034301758,0
::1,::1,9706,8443,4,1560,390.0,650.7265170561286,1517,1,2.007244110107422,0.6690813700358073,0.4694065860489985,0
::1,::1,8443,9706,3,622,207.33333333333334,60.339778661252055,250,122,0.0036470890045166016,0.0018235445022583008,0.0015474557876586914,0
::1,::1,9707,8443,4,1560,390.0,650.7265170561286,1517,1,2.008586883544922,0.6695289611816406,0.46905020515803547,0
::1,::1,8443,9707,2,372,186.0,64.0,250,122,0.004339933395385742,0.004339933395385742,0.0,0
::1,::1,9708,8443,4,1560,390.0,650.7265170561286,1517,1,2.0081288814544678,0.6693762938181559,0.4693221469015396,0
::1,::1,8443,9708,2,372,186.0,64.0,250,122,0.0033409595489501953,0.0033409595489501953,0.0,0
::1,::1,9709,8443,4,1560,390.0,650.7265170561286,1517,1,2.0087850093841553,0.6695950031280518,0.4687623929212216,0
::1,::1,8443,9709,3,622,207.33333333333334,60.339778661252055,250,122,0.0038590431213378906,0.0019295215606689453,0.001817464828491211,0
::1,::1,9710,8443,4,1560,390.0,650.7265170561286,1517,1,2.0094540119171143,0.6698180039723715,0.4685927501425166,0
::1,::1,8443,9710,2,372,186.0,64.0,250,122,0.003835916519165039,0.003835916519165039,0.0,0
::1,::1,9711,8443,4,1560,390.0,650.7265170561286,1517,1,2.007451057434082,0.6691503524780273,0.46913291245801003,0
::1,::1,8443,9711,2,372,186.0,64.0,250,122,0.003439188003540039,0.003439188003540039,0.0,0
::1,::1,9712,8443,4,1560,390.0,650.7265170561286,1517,1,2.010596990585327,0.6701989968617758,0.4685788368306786,0
::1,::1,8443,9712,2,372,186.0,64.0,250,122,0.005141019821166992,0.005141019821166992,0.0,0
::1,::1,9714,8443,4,1560,390.0,650.7265170561286,1517,1,2.008004903793335,0.6693349679311117,0.4690169772605652,0
::1,::1,8443,9714,2,372,186.0,64.0,250,122,0.003840923309326172,0.003840923309326172,0.0,0
::1,::1,9715,8443,4,1560,390.0,650.7265170561286,1517,1,2.0088980197906494,0.6696326732635498,0.4692332388570235,0
::1,::1,8443,9715,2,372,186.0,64.0,250,122,0.0038721561431884766,0.0038721561431884766,0.0,0
::1,::1,9716,8443,4,1560,390.0,650.7265170561286,1517,1,2.0104551315307617,0.6701517105102539,0.46823858176071637,0
