src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,mean_packet_length,std_packet_length,flow_duration,mean_inter_arrival_time,std_inter_arrival_time,handshake_ratio,application_data_ratio,alert_ratio,label
::1,::1,8443,10872,9,2435,270.55555555555554,429.9646267391232,2.035943031311035,0.2544928789138794,0.4382980227518369,0.1111111111111111,0.0,0.0,0
::1,::1,8443,8813,9,2435,270.55555555555554,429.9646267391232,2.026758909225464,0.253344863653183,0.4363944659161884,0.1111111111111111,0.0,0.0,0
::1,::1,8443,10667,9,2435,270.55555555555554,429.9646267391232,2.0355758666992188,0.2544469833374023,0.4382776516452782,0.1111111111111111,0.0,0.0,0
::1,::1,8443,6313,9,2435,270.55555555555554,429.9646267391232,2.0111279487609863,0.2513909935951233,0.4329586763697044,0.1111111111111111,0.0,0.0,0
::1,::1,6185,8443,11,2374,215.8181818181818,433.9136525292096,2.028596878051758,0.2028596878051757,0.4021157259671513,0.0909090909090909,0.0,0.0,0
::1,::1,8443,10513,9,2435,270.55555555555554,429.9646267391232,2.030719041824341,0.2538398802280426,0.437292101600504,0.1111111111111111,0.0,0.0,0
::1,::1,10718,8443,10,2310,231.0,452.2983528601448,2.022656917572021,0.2247396575080024,0.4181426335320798,0.1,0.0,0.0,0
::1,::1,2127,8443,10,2311,231.1,452.2686038185715,2.0295419692993164,0.2255046632554796,0.4195470930887556,0.1,0.0,0.0,0
::1,::1,8443,8815,9,2435,270.55555555555554,429.9646267391232,2.01871109008789,0.2523388862609863,0.4348215067222725,0.1111111111111111,0.0,0.0,0
::1,::1,4382,8443,10,2311,231.1,452.2686038185715,2.0316669940948486,0.2257407771216498,0.4201268857050992,0.1,0.0,0.0,0
::1,::1,10626,8443,10,2309,230.9,452.32829891573226,2.0153698921203613,0.2239299880133735,0.4167387908973247,0.1,0.0,0.0,0
::1,::1,8443,10767,9,2435,270.55555555555554,429.9646267391232,2.011199951171875,0.2513999938964844,0.4330857996259267,0.1111111111111111,0.0,0.0,0
::1,::1,8443,10498,9,2435,270.55555555555554,429.9646267391232,2.0208370685577397,0.2526046335697174,0.4353492623407748,0.1111111111111111,0.0,0.0,0
::1,::1,10509,8443,10,2310,231.0,452.2983528601448,2.018143892288208,0.2242382102542453,0.4171058376249088,0.1,0.0,0.0,0
::1,::1,8443,4311,9,2435,270.55555555555554,429.9646267391232,2.033376932144165,0.2541721165180206,0.4376400438817963,0.1111111111111111,0.0,0.0,0
::1,::1,4420,8443,10,2311,231.1,452.2686038185715,2.0180351734161377,0.2242261303795708,0.4169536053835309,0.1,0.0,0.0,0
::1,::1,8443,10732,9,2435,270.55555555555554,429.9646267391232,2.0323431491851807,0.2540428936481476,0.4375751682052331,0.1111111111111111,0.0,0.0,0
::1,::1,8443,8577,9,2435,270.55555555555554,429.9646267391232,2.0265259742736816,0.2533157467842102,0.4361628121807893,0.1111111111111111,0.0,0.0,0
::1,::1,8443,4474,9,2435,270.55555555555554,429.9646267391232,2.0349080562591557,0.2543635070323944,0.437937401986513,0.1111111111111111,0.0,0.0,0
::1,::1,8443,6413,9,2435,270.55555555555554,429.9646267391232,2.0300259590148926,0.2537532448768616,0.4372051609197855,0.1111111111111111,0.0,0.0,0
::1,::1,6309,8443,10,2310,231.0,452.2983528601448,2.031597852706909,0.2257330947452121,0.4198981348948276,0.1,0.0,0.0,0
::1,::1,8443,10680,9,2435,270.55555555555554,429.9646267391232,2.010229110717773,0.2512786388397217,0.4328742811172561,0.1111111111111111,0.0,0.0,0
::1,::1,6170,8443,10,2310,231.0,452.2983528601448,2.011228084564209,0.223469787173801,0.4153665801294739,0.1,0.0,0.0,0
::1,::1,8618,8443,10,2311,231.1,452.2686038185715,2.0121819972991943,0.2235757774776882,0.416269460799859,0.1,0.0,0.0,0
::1,::1,8443,4295,9,2435,270.55555555555554,429.9646267391232,2.009836912155152,0.2512296140193939,0.4328154964817857,0.1111111111111111,0.0,0.0,0
::1,::1,8443,11777,9,2435,270.55555555555554,429.9646267391232,2.0358121395111084,0.2544765174388885,0.4385694633718964,0.1111111111111111,0.0,0.0,0
::1,::1,8443,2209,9,2435,270.55555555555554,429.9646267391232,2.0295650959014893,0.2536956369876861,0.4371677652721925,0.1111111111111111,0.0,0.0,0
::1,::1,10885,8443,10,2310,231.0,452.2983528601448,2.0230369567871094,0.2247818840874565,0.4185041265780439,0.1,0.0,0.0,0
::1,::1,8443,2125,9,2435,270.55555555555554,429.9646267391232,2.026639938354492,0.2533299922943115,0.4363426125355432,0.1111111111111111,0.0,0.0,0
::1,::1,4472,8443,10,2311,231.1,452.2686038185715,2.0209670066833496,0.2245518896314833,0.4178355580432442,0.1,0.0,0.0,0
::1,::1,2181,8443,10,2311,231.1,452.2686038185715,2.029217004776001,0.2254685560862223,0.4194865370070902,0.1,0.0,0.0,0
::1,::1,6363,8443,10,2310,231.0,452.2983528601448,2.037085056304932,0.2263427840338813,0.4211869775746465,0.1,0.0,0.0,0
::1,::1,8819,8443,10,2310,231.0,452.2983528601448,2.023987054824829,0.2248874505360921,0.4185506733343223,0.1,0.0,0.0,0
::1,::1,4460,8443,10,2311,231.1,452.2686038185715,2.021704912185669,0.224633879131741,0.4178752493736746,0.1,0.0,0.0,0
::1,::1,8443,6330,9,2435,270.55555555555554,429.9646267391232,2.019726037979126,0.2524657547473907,0.4350327667386136,0.1111111111111111,0.0,0.0,0
::1,::1,8443,4267,9,2435,270.55555555555554,429.9646267391232,2.0112500190734863,0.2514062523841858,0.433209118833391,0.1111111111111111,0.0,0.0,0
::1,::1,8546,8443,10,2311,231.1,452.2686038185715,2.036322116851806,0.226258012983534,0.420999200612986,0.1,0.0,0.0,0
::1,::1,8443,6312,9,2435,270.55555555555554,429.9646267391232,2.017446994781494,0.2521808743476867,0.4342676058281479,0.1111111111111111,0.0,0.0,0
::1,::1,4248,8443,10,2310,231.0,452.2983528601448,2.024345874786377,0.2249273194207085,0.4185109736746465,0.1,0.0,0.0,0
::1,::1,8443,6101,9,2435,270.55555555555554,429.9646267391232,2.016526937484741,0.2520658671855926,0.4342699357742657,0.1111111111111111,0.0,0.0,0
::1,::1,8443,10723,9,2435,270.55555555555554,429.9646267391232,2.0218069553375244,0.2527258694171905,0.4355598996230118,0.1111111111111111,0.0,0.0,0
::1,::1,8443,6342,9,2435,270.55555555555554,429.9646267391232,2.0231330394744877,0.2528916299343109,0.4354869453597362,0.1111111111111111,0.0,0.0,0
::1,::1,6442,8443,10,2310,231.0,452.2983528601448,2.026050090789795,0.2251166767544216,0.4188966082206726,0.1,0.0,0.0,0
::1,::1,8443,10787,9,2435,270.55555555555554,429.9646267391232,2.018299102783203,0.2522873878479004,0.434630789416517,0.1111111111111111,0.0,0.0,0
::1,::1,6265,8443,10,2310,231.0,452.2983528601448,2.020949125289917,0.2245499028099907,0.417908088384672,0.1,0.0,0.0,0
::1,::1,2201,8443,10,2311,231.1,452.2686038185715,2.012251853942871,0.2235835393269857,0.4157443276272636,0.1,0.0,0.0,0
::1,::1,4378,8443,10,2311,231.1,452.2686038185715,2.0235960483551025,0.2248440053727891,0.418423721577548,0.1,0.0,0.0,0
::1,::1,8443,11804,9,2435,270.55555555555554,429.9646267391232,2.0224928855896,0.2528116106986999,0.4357203039775093,0.1111111111111111,0.0,0.0,0
::1,::1,8566,8443,10,2311,231.1,452.2686038185715,2.03423810005188,0.2260264555613199,0.4203399013090139,0.1,0.0,0.0,0
::1,::1,8443,10495,9,2435,270.55555555555554,429.9646267391232,2.0237679481506348,0.2529709935188293,0.4356231638656547,0.1111111111111111,0.0,0.0,0
::1,::1,8443,8620,9,2435,270.55555555555554,429.9646267391232,2.014397144317627,0.2517996430397033,0.4337243845108027,0.1111111111111111,0.0,0.0,0
