src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,mean_packet_length,std_packet_length,flow_duration,mean_inter_arrival_time,std_inter_arrival_time,handshake_ratio,application_data_ratio,alert_ratio,label
::1,::1,11147,8443,10,2308,230.8,452.3584419462071,2.0301458835601807,0.22557176484002006,0.4151402195187827,0.1,0.0,0.0,0
::1,::1,8443,11147,9,2435,270.55555555555554,429.9646267391232,2.0298378467559814,0.2537297308444977,0.43220810120232733,0.1111111111111111,0.0,0.0,0
::1,::1,11149,8443,10,2308,230.8,452.3584419462071,2.0201539993286133,0.22446155548095703,0.4173568566100027,0.1,0.0,0.0,0
::1,::1,8443,11149,9,2435,270.55555555555554,429.9646267391232,2.020034074783325,0.25250425934791565,0.4346319534136437,0.1111111111111111,0.0,0.0,0
::1,::1,11150,8443,10,2308,230.8,452.3584419462071,2.030590057373047,0.22562111748589408,0.4195364197519864,0.1,0.0,0.0,0
::1,::1,8443,11150,9,2435,270.55555555555554,429.9646267391232,2.030372142791748,0.2537965178489685,0.4369428201947242,0.1111111111111111,0.0,0.0,0
::1,::1,11151,8443,10,2308,230.8,452.3584419462071,2.0255889892578125,0.22506544325086805,0.41859224677391743,0.1,0.0,0.0,0
::1,::1,8443,11151,9,2435,270.55555555555554,429.9646267391232,2.025369882583618,0.25317123532295227,0.4359642291781118,0.1111111111111111,0.0,0.0,0
::1,::1,11152,8443,10,2308,230.8,452.3584419462071,2.0119171142578125,0.22354634602864584,0.4151818691320266,0.1,0.0,0.0,0
::1,::1,8443,11152,9,2435,270.55555555555554,429.9646267391232,2.0116970539093018,0.2514621317386627,0.432401548487509,0.1111111111111111,0.0,0.0,0
::1,::1,11153,8443,10,2308,230.8,452.3584419462071,2.017630100250244,0.22418112225002712,0.4169259761412226,0.1,0.0,0.0,0
::1,::1,8443,11153,9,2435,270.55555555555554,429.9646267391232,2.0174031257629395,0.25217539072036743,0.4342265538575009,0.1111111111111111,0.0,0.0,0
::1,::1,11155,8443,10,2308,230.8,452.3584419462071,2.0248260498046875,0.22498067220052084,0.41836540691746626,0.1,0.0,0.0,0
::1,::1,8443,11155,9,2435,270.55555555555554,429.9646267391232,2.024590015411377,0.2530737519264221,0.4357193803767516,0.1111111111111111,0.0,0.0,0
::1,::1,11156,8443,10,2308,230.8,452.3584419462071,2.021578073501587,0.22461978594462076,0.4174723222613658,0.1,0.0,0.0,0
::1,::1,8443,11156,9,2435,270.55555555555554,429.9646267391232,2.0212950706481934,0.25266188383102417,0.4347918423751655,0.1111111111111111,0.0,0.0,0
::1,::1,11157,8443,10,2308,230.8,452.3584419462071,2.008787155151367,0.22319857279459634,0.4150386435834835,0.1,0.0,0.0,0
::1,::1,8443,11157,9,2435,270.55555555555554,429.9646267391232,2.0085339546203613,0.25106674432754517,0.432266574117489,0.1111111111111111,0.0,0.0,0
::1,::1,11158,8443,10,2309,230.9,452.32829891573226,2.022125005722046,0.22468055619133842,0.4176795702489138,0.1,0.0,0.0,0
::1,::1,8443,11158,9,2435,270.55555555555554,429.9646267391232,2.0218679904937744,0.2527334988117218,0.4350077069588924,0.1111111111111111,0.0,0.0,0
::1,::1,11159,8443,10,2309,230.9,452.32829891573226,2.0128090381622314,0.22364544868469238,0.41598088455357535,0.1,0.0,0.0,0
::1,::1,8443,11159,9,2435,270.55555555555554,429.9646267391232,2.0126559734344482,0.25158199667930603,0.43320671644777625,0.1111111111111111,0.0,0.0,0
::1,::1,11161,8443,10,2309,230.9,452.32829891573226,2.033668041229248,0.22596311569213867,0.4203815693628344,0.1,0.0,0.0,0
::1,::1,8443,11161,9,2435,270.55555555555554,429.9646267391232,2.0334370136260986,0.25417962670326233,0.4378206223439455,0.1111111111111111,0.0,0.0,0
::1,::1,11162,8443,10,2309,230.9,452.32829891573226,2.0277929306030273,0.2253103256225586,0.4186618400031127,0.1,0.0,0.0,0
::1,::1,8443,11162,9,2435,270.55555555555554,429.9646267391232,2.027601957321167,0.2534502446651459,0.4360393907777952,0.1111111111111111,0.0,0.0,0
::1,::1,11163,8443,10,2309,230.9,452.32829891573226,2.0163180828094482,0.22403534253438315,0.41671486064468255,0.1,0.0,0.0,0
::1,::1,8443,11163,9,2435,270.55555555555554,429.9646267391232,2.016062021255493,0.25200775265693665,0.4340127162029986,0.1111111111111111,0.0,0.0,0
::1,::1,11164,8443,10,2309,230.9,452.32829891573226,2.0282061100006104,0.22535623444451225,0.41931409020875116,0.1,0.0,0.0,0
::1,::1,8443,11164,9,2435,270.55555555555554,429.9646267391232,2.0279719829559326,0.2534964978694916,0.43673770112843585,0.1111111111111111,0.0,0.0,0
::1,::1,11165,8443,10,2309,230.9,452.32829891573226,2.0147998332977295,0.22386664814419216,0.416605656875873,0.1,0.0,0.0,0
::1,::1,8443,11165,9,2435,270.55555555555554,429.9646267391232,2.014648914337158,0.2518311142921448,0.43387038699351144,0.1111111111111111,0.0,0.0,0
::1,::1,11167,8443,11,2373,215.72727272727272,433.9388500927691,2.0237538814544678,0.20237538814544678,0.40273292738767247,0.09090909090909091,0.0,0.0,0
::1,::1,8443,11167,10,2499,249.9,396.50660776335116,2.023603916168213,0.22484487957424587,0.4185663322848466,0.1,0.0,0.0,0
::1,::1,11168,8443,10,2309,230.9,452.32829891573226,2.0129079818725586,0.2236564424302843,0.4159366573637036,0.1,0.0,0.0,0
::1,::1,8443,11168,9,2435,270.55555555555554,429.9646267391232,2.0126750469207764,0.25158438086509705,0.43319029726722175,0.1111111111111111,0.0,0.0,0
::1,::1,11169,8443,10,2309,230.9,452.32829891573226,2.0092639923095703,0.22325155470106336,0.4154200043431494,0.1,0.0,0.0,0
::1,::1,8443,11169,9,2435,270.55555555555554,429.9646267391232,2.0090548992156982,0.2511318624019623,0.43268078650826525,0.1111111111111111,0.0,0.0,0
::1,::1,11170,8443,10,2309,230.9,452.32829891573226,2.027780055999756,0.22530889511108398,0.4190419043766557,0.1,0.0,0.0,0
::1,::1,8443,11170,9,2435,270.55555555555554,429.9646267391232,2.027574062347412,0.2534467577934265,0.4364323419500118,0.1111111111111111,0.0,0.0,0
::1,::1,11171,8443,10,2309,230.9,452.32829891573226,2.0348589420318604,0.22609543800354004,0.4202896232754774,0.1,0.0,0.0,0
::1,::1,8443,11171,9,2435,270.55555555555554,429.9646267391232,2.034524917602539,0.2543156147003174,0.4377605016568182,0.1111111111111111,0.0,0.0,0
::1,::1,11173,8443,10,2309,230.9,452.32829891573226,2.0243000984191895,0.22492223315768772,0.4184855059364721,0.1,0.0,0.0,0
::1,::1,8443,11173,9,2435,270.55555555555554,429.9646267391232,2.0240750312805176,0.2530093789100647,0.4358546688859733,0.1111111111111111,0.0,0.0,0
::1,::1,11174,8443,10,2309,230.9,452.32829891573226,2.010568141937256,0.22339646021525064,0.4157409657431429,0.1,0.0,0.0,0
::1,::1,8443,11174,9,2435,270.55555555555554,429.9646267391232,2.010424852371216,0.251303106546402,0.43296466132674455,0.1111111111111111,0.0,0.0,0
::1,::1,11175,8443,10,2309,230.9,452.32829891573226,2.02243709564209,0.2247152328491211,0.41807909158204,0.1,0.0,0.0,0
::1,::1,8443,11175,9,2435,270.55555555555554,429.9646267391232,2.022304058074951,0.2527880072593689,0.43539607152175824,0.1111111111111111,0.0,0.0,0
::1,::1,11176,8443,10,2309,230.9,452.32829891573226,2.0249340534210205,0.2249926726023356,0.41851168255384585,0.1,0.0,0.0,0
::1,::1,8443,11176,9,2435,270.55555555555554,429.9646267391232,2.024643898010254,0.25308048725128174,0.4358790214511375,0.1111111111111111,0.0,0.0,0
::1,::1,11178,8443,11,2373,215.72727272727272,433.9388500927691,2.010301113128662,0.20103011131286622,0.39995024579133603,0.09090909090909091,0.0,0.0,0
::1,::1,8443,11178,10,2499,249.9,396.50660776335116,2.0101749897003174,0.2233527766333686,0.4156551205414259,0.1,0.0,0.0,0
::1,::1,11179,8443,10,2309,230.9,452.32829891573226,2.019152879714966,0.22435031996832955,0.41728074816749183,0.1,0.0,0.0,0
::1,::1,8443,11179,9,2435,270.55555555555554,429.9646267391232,2.019041061401367,0.2523801326751709,0.43456591521477,0.1111111111111111,0.0,0.0,0
::1,::1,11180,8443,10,2309,230.9,452.32829891573226,2.017263174057007,0.22414035267300075,0.417376793647367,0.1,0.0,0.0,0
::1,::1,8443,11180,9,2435,270.55555555555554,429.9646267391232,2.0171518325805664,0.2521439790725708,0.4347102917282455,0.1111111111111111,0.0,0.0,0
::1,::1,11182,8443,10,2309,230.9,452.32829891573226,2.02262282371521,0.22473586930168998,0.4181776743216156,0.1,0.0,0.0,0
::1,::1,8443,11182,9,2435,270.55555555555554,429.9646267391232,2.0224499702453613,0.25280624628067017,0.4355441393399427,0.1111111111111111,0.0,0.0,0
::1,::1,10579,8443,10,2309,230.9,452.32829891573226,2.0214028358459473,0.22460031509399414,0.41770112460470893,0.1,0.0,0.0,0
::1,::1,8443,10579,9,2435,270.55555555555554,429.9646267391232,2.021183967590332,0.2526479959487915,0.4350330515998061,0.1111111111111111,0.0,0.0,0
::1,::1,10582,8443,10,2309,230.9,452.32829891573226,2.0139780044555664,0.22377533382839626,0.416076849684833,0.1,0.0,0.0,0
::1,::1,8443,10582,9,2435,270.55555555555554,429.9646267391232,2.0137040615081787,0.25171300768852234,0.4333441258817803,0.1111111111111111,0.0,0.0,0
::1,::1,10585,8443,10,2309,230.9,452.32829891573226,2.0194220542907715,0.22438022825453016,0.41737745702517026,0.1,0.0,0.0,0
::1,::1,8443,10585,9,2435,270.55555555555554,429.9646267391232,2.0191781520843506,0.2523972690105438,0.4347038195577131,0.1111111111111111,0.0,0.0,0
::1,::1,10586,8443,10,2309,230.9,452.32829891573226,2.0128190517425537,0.22364656130472818,0.41599523219759454,0.1,0.0,0.0,0
::1,::1,8443,10586,9,2435,270.55555555555554,429.9646267391232,2.0126430988311768,0.2515803873538971,0.43322270564571824,0.1111111111111111,0.0,0.0,0
::1,::1,10589,8443,10,2309,230.9,452.32829891573226,2.0337679386138916,0.2259742154015435,0.42031802816137115,0.1,0.0,0.0,0
::1,::1,8443,10589,9,2435,270.55555555555554,429.9646267391232,2.0335559844970703,0.2541944980621338,0.43776265968671213,0.1111111111111111,0.0,0.0,0
::1,::1,10590,8443,10,2309,230.9,452.32829891573226,2.026278018951416,0.2251420021057129,0.41819890459017,0.1,0.0,0.0,0
::1,::1,8443,10590,9,2435,270.55555555555554,429.9646267391232,2.0260119438171387,0.25325149297714233,0.4355546024608958,0.1111111111111111,0.0,0.0,0
::1,::1,10594,8443,10,2309,230.9,452.32829891573226,2.0371811389923096,0.2263534598880344,0.4210292495032033,0.1,0.0,0.0,0
::1,::1,8443,10594,9,2435,270.55555555555554,429.9646267391232,2.0369839668273926,0.2546229958534241,0.43848463757396844,0.1111111111111111,0.0,0.0,0
::1,::1,10596,8443,10,2309,230.9,452.32829891573226,2.0110981464385986,0.22345534960428873,0.4159064220484842,0.1,0.0,0.0,0
::1,::1,8443,10596,9,2435,270.55555555555554,429.9646267391232,2.0109570026397705,0.2513696253299713,0.43314173896190095,0.1111111111111111,0.0,0.0,0
::1,::1,10597,8443,10,2309,230.9,452.32829891573226,2.0243589878082275,0.22492877642313638,0.4186429430672139,0.1,0.0,0.0,0
::1,::1,8443,10597,9,2435,270.55555555555554,429.9646267391232,2.0242059230804443,0.25302574038505554,0.4359954566545924,0.1111111111111111,0.0,0.0,0
::1,::1,10600,8443,10,2309,230.9,452.32829891573226,2.0293920040130615,0.22548800044589573,0.4198822812580916,0.1,0.0,0.0,0
::1,::1,8443,10600,9,2435,270.55555555555554,429.9646267391232,2.029266834259033,0.25365835428237915,0.4372829549244996,0.1111111111111111,0.0,0.0,0
::1,::1,10601,8443,10,2309,230.9,452.32829891573226,2.035486936569214,0.2261652151743571,0.42155326365682577,0.1,0.0,0.0,0
